   Gen     Avg_len    Best_len     Best_path
   155     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   156     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   157     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   158     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   159     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   160     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   161     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   162     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   163     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   164     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   165     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
